epoch,auc,binary_accuracy,loss,lr,matthews_correlation,val_auc,val_binary_accuracy,val_loss,val_matthews_correlation
0,0.8994133311145484,0.95867616910461,0.11451572049673356,0.001,0.5476388558691717,0.9451130199516918,0.9641684674202128,0.09479343304608731,0.6542575302276206
1,0.9508827119960007,0.9636680657136525,0.09697091577785975,0.001,0.6301646327322468,0.9543749406828103,0.9662047041223404,0.08757256167603934,0.6652790961641792
2,0.9567851611010149,0.9651545531360816,0.09224710457277953,0.001,0.6485723021526074,0.9583765654065085,0.964445506427305,0.09078551469542456,0.6738489697693933
3,0.9597950857000571,0.9664107518838653,0.08858642575218745,0.001,0.6631999649503764,0.9609763954125398,0.9664401872783688,0.08575113930785698,0.6780459189668615
4,0.9620883066127909,0.9674435879321809,0.08531665494863658,0.001,0.6759310079778128,0.9629644269638873,0.96648866910461,0.08555944213736141,0.6760059107385629
5,0.963842769569539,0.9685569384419326,0.08223999946226254,0.001,0.6886272188540258,0.9645527638230763,0.9642896719858156,0.08887802300221742,0.6743733682636673
