epoch,auc,binary_accuracy,loss,lr,matthews_correlation,val_auc,val_binary_accuracy,val_loss,val_matthews_correlation
0,0.8969146691606189,0.9584138477947695,0.11532285437813518,0.001,0.5481649769390834,0.944395420716164,0.9643866356382979,0.0922061184698597,0.6485277205071551
1,0.950336854429321,0.9634144018727837,0.09759162838986897,0.001,0.6267242237846268,0.9538216130107853,0.9663293716755319,0.08822290946115205,0.6578515660783923
2,0.9561311613953283,0.9651606133643617,0.09248722717991588,0.001,0.6480697437143284,0.9578527433018312,0.9641684674202128,0.09180560859303313,0.6732058495494491
3,0.9593257847512867,0.9663094594968972,0.0887892562400629,0.001,0.6621245636426388,0.9605568630475525,0.9672262854609929,0.08521782259410578,0.6717840222813559
4,0.9616636955674659,0.9676002881205674,0.08552283323733202,0.001,0.676839046906812,0.9625525898333137,0.9663605385638298,0.08604083055669957,0.6738002597228855
5,0.963438131126529,0.9685837765957447,0.08259515839146701,0.001,0.6883822931703312,0.9641446434225597,0.9670185062056738,0.08610945054930998,0.6651647798452817
