epoch,auc,binary_accuracy,loss,lr,matthews_correlation,val_auc,val_binary_accuracy,val_loss,val_matthews_correlation
0,0.897310836016075,0.958628553025266,0.11518029988981149,0.001,0.5488895406068884,0.9445536595287053,0.9653458832003546,0.09170286254362857,0.6471768179049728
1,0.950348259630144,0.9634819301307624,0.09775359019907919,0.001,0.6275834994958648,0.9537440773020399,0.9655779033687943,0.08938838399497541,0.6661137474555496
2,0.9561506049535798,0.9651104000443262,0.0929278193821087,0.001,0.6475735855757767,0.9578389693447884,0.9668938386524822,0.08535875969876845,0.6703263268086082
3,0.9594396249728,0.9663700617796985,0.08906830942707387,0.001,0.6623273262661611,0.9605857602036592,0.9668557457890071,0.08575084068356677,0.6751336344907469
4,0.9616855159401894,0.9674003005873227,0.08570844658604222,0.001,0.674263179804205,0.9625921172241793,0.9664921320921985,0.08623691570964899,0.6805436639709675
5,0.9634454329861394,0.96844785433289,0.08309188693372123,0.001,0.6864255126697797,0.9641545853504898,0.9664401872783688,0.08528248790043888,0.6774603142700297
