epoch,auc,binary_accuracy,loss,lr,matthews_correlation,val_auc,val_binary_accuracy,val_loss,val_matthews_correlation
0,0.8914756629061191,0.9587523548315603,0.11547671832765143,0.001,0.5479337803648738,0.9437827493282075,0.9631676640070922,0.0950143339429447,0.6482154818925452
1,0.9498876490702866,0.963861993018617,0.09711569953538107,0.001,0.6314808445196625,0.9535784964443098,0.9645078402039007,0.09070798691943394,0.6600505171198372
2,0.9559859210981968,0.9652852809175532,0.09233987146942275,0.001,0.6490009599332268,0.9576967335339134,0.9659622949911347,0.08817358488045263,0.658935750682726
3,0.9592000389247076,0.966388242464539,0.0887129800691408,0.001,0.6624180501234447,0.9603540045572511,0.9657787566489362,0.0873662397093701,0.6684602516445708
4,0.9614749068645299,0.9675336256094859,0.08576082370527988,0.001,0.6763876475367352,0.9623303697675678,0.965342420212766,0.08764111687898213,0.6678178620042531
5,0.9631982299611501,0.9685387577570922,0.08277227198176668,0.001,0.6877384768759317,0.9638770883176344,0.9665787067819149,0.08694780578982111,0.664710652532307
