epoch,binary_accuracy,loss,lr,val_binary_accuracy,val_loss
0,0.9612889932402482,0.10622690155349196,0.001,0.9653493461879432,0.09187441136925778
1,0.9671068123891844,0.0862800998147577,0.001,0.9661666112588653,0.08841774506983183
2,0.970304881427305,0.07631776508535028,0.001,0.9655882923315603,0.09006123117944027
3,0.9750742810837766,0.06312530981013485,0.001,0.9635832225177305,0.09741484719916438
4,0.9814323262965425,0.04672089529451617,0.001,0.9635070367907801,0.12072382416866773
5,0.9876033701795213,0.03184235027532179,0.001,0.9612872617464538,0.13640970459987298
