epoch,binary_accuracy,loss,lr,val_binary_accuracy,val_loss
0,0.9607911887743794,0.10778552308638996,0.001,0.9632022938829787,0.10082350710922099
1,0.9667639766179078,0.08725866768178893,0.001,0.9641234485815603,0.09330131497286948
2,0.9701577044547872,0.07675183931669445,0.001,0.965591755319149,0.09200942681455021
3,0.9748994002105497,0.06334990195117574,0.001,0.9647156194592199,0.09943666118230168
4,0.9812288757757093,0.04707960587107173,0.001,0.9635901484929078,0.11405713563613223
5,0.9875219899711879,0.031811014823210984,0.001,0.96062929410461,0.14446410248782618
