epoch,binary_accuracy,loss,lr,val_binary_accuracy,val_loss
0,0.9610742880097518,0.10738465841364195,0.001,0.9657198858599291,0.09092989966854559
1,0.9672098362699468,0.08637723524011143,0.001,0.9658964982269503,0.08892048403937766
2,0.9705083319481383,0.07604352163699132,0.001,0.9661112034574468,0.0902028033800476
3,0.9756396138076241,0.06189531490870533,0.001,0.9649268617021277,0.09790322719577779
4,0.9821283868018617,0.04526300564142446,0.001,0.96240234375,0.11894978047843943
5,0.9882959676972518,0.030413687550433884,0.001,0.9614465591755319,0.14319041542418248
