epoch,binary_accuracy,loss,lr,val_binary_accuracy,val_loss
0,0.9613859568927305,0.10659110844828823,0.001,0.9652489195478723,0.09204714115814748
1,0.9667709025930851,0.08744090575731445,0.001,0.9661908521719859,0.08900352671134767
2,0.9701706906582447,0.07681220773184765,0.001,0.96630859375,0.08927046677348673
3,0.97479551058289,0.06335799255018644,0.001,0.9641996343085106,0.09972752097677043
4,0.981413279864805,0.04649910978487435,0.001,0.9613530585106383,0.11677049251656371
5,0.987676092918883,0.03134921222102848,0.001,0.9612353169326241,0.14599012922337082
