epoch,binary_accuracy,loss,lr,val_binary_accuracy,val_loss
0,0.9568555033798759,0.12179456028347531,0.001,0.9645043772163121,0.09535874808801616
1,0.9642316669437057,0.09778679366362222,0.001,0.9649303246897163,0.09306886329163686
2,0.9658774517952128,0.0924020026503329,0.001,0.9659726839539007,0.089342763165263
3,0.9675474775598404,0.08730360344613751,0.001,0.9668626717641844,0.08702854911882615
4,0.9694148936170213,0.08235298834100419,0.001,0.9666029476950354,0.08874674442600697
5,0.9717047941600178,0.0760907358580751,0.001,0.9659726839539007,0.09243676150283704
