epoch,binary_accuracy,loss,lr,val_binary_accuracy,val_loss
0,0.9580545628324468,0.11799047701060772,0.001,0.964106133643617,0.09533144497306001
1,0.9639918550531915,0.09848034755881638,0.001,0.9658722573138298,0.09057166409540049
2,0.9657571129765071,0.09272101192226541,0.001,0.9665059840425532,0.0887045178839818
3,0.9675171764184397,0.08736583155725178,0.001,0.966388242464539,0.08889493641463365
4,0.9694555837211879,0.08180667889958367,0.001,0.9653043273492907,0.09387288049708867
5,0.9720147315492021,0.07550958862878276,0.001,0.9656437001329787,0.09248854073940228
